Region,Sold to Party Code,Area,Kalender,Channel,Produk,Year,Bln,MT
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,4,4821.779
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,5,3739.282
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,6,5222.383
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,7,4790.587
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,8,4394.76
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,9,5659.246
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,10,4140.445
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,11,3949.908
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,12,4614.482
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,1,7987.95
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,2,4602.847
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,3,5243.667
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,4,5198.193
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,5,3797.378
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,6,5702.877
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,7,4915.923
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,8,4599.873
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,9,5612.02
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,10,4151.595
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,11,4048.69
ICBP,102892,Pt. Icbp - Noodle Palembang,KI,Industry,25 kg,2022,12,4731.017
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,1,6134.365
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,2,3281.029
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,3,3853.152
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,4,3879.505
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,5,3030.51
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,6,4006.956
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,7,3808.984
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,8,3423.15
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,9,4395.271
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,10,3223.31
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,11,3092.37
ICBP,102901,Pt. Icbp - Noodle Pekan Baru,KI,Industry,25 kg,2022,12,3613.597
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,1,2789.509
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,2,1680.386
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,3,1920.626
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,4,1867.487
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,5,1410.013
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,6,1970.613
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,7,1751.08
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,8,1627.519
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,9,2212.686
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,10,1626.413
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,11,1450.654
ICBP,102894,Pt. Icbp - Noodle Pontianak,KI,Industry,25 kg,2022,12,1694.827
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,1,6793.799
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,2,3007.067
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,3,4495.001
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,4,4869.531
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,5,3373.579
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,6,3619.409
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,7,4144.265
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,8,4174.693
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,9,4346.796
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,10,3190.93
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,11,3541.119
ICBP,102889,PT. ICBP - Noodle Semarang,KI,Industry,25 kg,2022,12,4144.951
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,1,4034.053
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,2,2672.287
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,3,3491.105
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,4,3517.23
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,5,2317.523
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,6,2962.609
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,7,3088.182
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,8,2980.04
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,9,3365.597
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,10,2633.699
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,11,2701.453
ICBP,102897,Pt. Icbp - Noodle Tangerang,KI,Industry,25 kg,2022,12,2957.875
